Date,#Passengers
12-Jan-1949,112
24-Feb-1949,118
22-Mar-1949,132
5-Apr-1949,129
24-May-1949,121
20-Jun-1949,135
7-Jul-1949,148
22-Aug-1949,148
2-Sep-1949,136
15-Oct-1949,119
16-Nov-1949,104
14-Dec-1949,118
15-Jan-1950,115
16-Feb-1950,126
18-Mar-1950,141
30-Apr-1950,135
17-May-1950,125
24-Jun-1950,149
30-Jul-1950,170
4-Aug-1950,170
9-Sep-1950,158
26-Oct-1950,133
19-Nov-1950,114
15-Dec-1950,140
28-Jan-1951,145
2-Feb-1951,150
8-Mar-1951,178
27-Apr-1951,163
1-May-1951,172
30-Jun-1951,178
10-Jul-1951,199
1-Aug-1951,199
10-Sep-1951,184
3-Oct-1951,162
24-Nov-1951,146
14-Dec-1951,166
7-Jan-1952,171
11-Feb-1952,180
9-Mar-1952,193
6-Apr-1952,181
15-May-1952,183
21-Jun-1952,218
13-Jul-1952,230
26-Aug-1952,242
21-Sep-1952,209
26-Oct-1952,191
18-Nov-1952,172
24-Dec-1952,194
16-Jan-1953,196
10-Feb-1953,196
21-Mar-1953,236
8-Apr-1953,235
24-May-1953,229
10-Jun-1953,243
24-Jul-1953,264
28-Aug-1953,272
19-Sep-1953,237
2-Oct-1953,211
10-Nov-1953,180
6-Dec-1953,201
17-Jan-1954,204
18-Feb-1954,188
17-Mar-1954,235
7-Apr-1954,227
16-May-1954,234
19-Jun-1954,264
2-Jul-1954,302
19-Aug-1954,293
2-Sep-1954,259
16-Oct-1954,229
12-Nov-1954,203
13-Dec-1954,229
21-Jan-1955,242
27-Feb-1955,233
3-Mar-1955,267
14-Apr-1955,269
22-May-1955,270
17-Jun-1955,315
9-Jul-1955,364
13-Aug-1955,347
25-Sep-1955,312
13-Oct-1955,274
8-Nov-1955,237
12-Dec-1955,278
28-Jan-1956,284
3-Feb-1956,277
3-Mar-1956,317
9-Apr-1956,313
17-May-1956,318
27-Jun-1956,374
26-Jul-1956,413
18-Aug-1956,405
29-Sep-1956,355
7-Oct-1956,306
23-Nov-1956,271
28-Dec-1956,306
21-Jan-1957,315
19-Feb-1957,301
5-Mar-1957,356
6-Apr-1957,348
13-May-1957,355
10-Jun-1957,422
2-Jul-1957,465
23-Aug-1957,467
5-Sep-1957,404
27-Oct-1957,347
19-Nov-1957,305
30-Dec-1957,336
17-Jan-1958,340
10-Feb-1958,318
12-Mar-1958,362
2-Apr-1958,348
18-May-1958,363
14-Jun-1958,435
13-Jul-1958,491
18-Aug-1958,505
29-Sep-1958,404
16-Oct-1958,359
21-Nov-1958,310
26-Dec-1958,337
22-Jan-1959,360
26-Feb-1959,342
8-Mar-1959,406
6-Apr-1959,396
14-May-1959,420
24-Jun-1959,472
29-Jul-1959,548
1-Aug-1959,559
6-Sep-1959,463
20-Oct-1959,407
30-Nov-1959,362
23-Dec-1959,405
20-Jan-1960,417
8-Feb-1960,391
26-Mar-1960,419
15-Apr-1960,461
27-May-1960,472
2-Jun-1960,535
2-Jul-1960,622
16-Aug-1960,606
14-Sep-1960,508
20-Oct-1960,461
26-Nov-1960,390
4-Dec-1960,432
