order_id,customer_id,order_date,items,revenue
O00000001,C000001,2024-04-22,3,52.02
O00000002,C000001,2024-06-03,3,37.15
O00000003,C000001,2024-06-19,3,46.01
O00000004,C000001,2024-07-04,2,39.7
O00000005,C000001,2024-08-09,3,36.17
O00000006,C000001,2024-08-30,2,27.11
O00000007,C000001,2024-09-03,1,39.66
O00000008,C000001,2024-12-20,1,49.24
O00000009,C000001,2025-01-01,2,47.59
O00000010,C000001,2025-01-08,4,38.13
O00000011,C000001,2025-01-18,5,53.37
O00000012,C000001,2025-02-11,2,46.97
O00000013,C000001,2025-03-19,2,33.85
O00000014,C000001,2025-04-09,3,54.58
O00000015,C000001,2025-06-30,1,22.18
O00000016,C000001,2025-07-03,1,37.07
O00000017,C000001,2025-07-05,2,52.89
O00000018,C000001,2025-07-19,3,28.35
O00000019,C000001,2025-10-11,2,30.25
O00000020,C000002,2024-03-02,2,11.82
O00000021,C000002,2024-11-21,4,31.14
O00000022,C000002,2024-12-03,5,27.05
O00000023,C000002,2025-01-25,4,7.36
O00000024,C000002,2025-07-04,2,41.6
O00000025,C000002,2025-08-29,2,38.29
O00000026,C000002,2025-08-31,6,30.24
O00000027,C000002,2025-09-29,3,15.43
O00000028,C000003,2024-01-23,1,40.31
O00000029,C000003,2024-02-02,1,38.98
O00000030,C000003,2024-02-13,2,53.39
O00000031,C000003,2024-03-17,2,71.46
O00000032,C000003,2024-05-03,2,36.41
O00000033,C000003,2024-05-05,2,54.18
O00000034,C000003,2024-05-30,4,55.57
O00000035,C000003,2024-06-21,4,59.87
O00000036,C000003,2024-10-08,4,47.71
O00000037,C000003,2024-11-05,3,71.31
O00000038,C000003,2024-12-31,4,54.9
O00000039,C000003,2025-04-30,2,65.83
O00000040,C000003,2025-05-11,4,68.06
O00000041,C000003,2025-06-04,4,72.59
O00000042,C000003,2025-06-07,3,84.46
O00000043,C000003,2025-07-21,3,107.08
O00000044,C000003,2025-07-28,2,52.64
O00000045,C000003,2025-08-03,2,36.28
O00000046,C000003,2025-08-09,4,40.6
O00000047,C000003,2025-12-30,6,48.19
O00000048,C000004,2024-06-13,3,26.72
O00000049,C000004,2024-09-10,4,30.21
O00000050,C000004,2024-11-16,5,34.02
O00000051,C000004,2024-11-18,5,45.3
O00000052,C000004,2024-12-20,3,41.36
O00000053,C000004,2024-12-29,2,49.56
O00000054,C000004,2025-04-03,3,39.08
O00000055,C000004,2025-08-14,2,45.91
O00000056,C000004,2025-08-31,5,33.95
O00000057,C000004,2025-10-03,3,37.67
O00000058,C000004,2025-12-05,3,40.49
O00000059,C000005,2024-04-12,1,22.84
O00000060,C000005,2024-08-05,1,34.31
O00000061,C000005,2024-08-31,3,23.45
O00000062,C000005,2024-10-16,2,39.05
O00000063,C000005,2024-11-18,1,24.1
O00000064,C000005,2024-11-29,4,38.72
O00000065,C000005,2025-05-20,2,19.44
O00000066,C000005,2025-06-24,8,28.91
O00000067,C000005,2025-09-25,5,40.11
O00000068,C000005,2025-09-29,4,20.51
O00000069,C000007,2024-03-04,2,29.17
O00000070,C000007,2024-05-02,3,27.54
O00000071,C000007,2024-09-20,5,30.75
O00000072,C000007,2024-10-03,5,31.46
O00000073,C000007,2025-01-08,3,43.96
O00000074,C000007,2025-02-25,2,27.15
O00000075,C000007,2025-03-28,1,38.77
O00000076,C000007,2025-08-20,2,17.47
O00000077,C000007,2025-09-27,3,36.34
O00000078,C000007,2025-12-05,2,16.6
O00000079,C000008,2024-01-01,3,19.99
O00000080,C000008,2024-04-15,2,15.83
O00000081,C000008,2024-04-20,4,21.33
O00000082,C000008,2024-05-24,1,28.34
O00000083,C000008,2024-11-04,3,18.95
O00000084,C000008,2025-03-05,5,23.55
O00000085,C000008,2025-03-15,3,28.69
O00000086,C000008,2025-07-17,5,16.01
O00000087,C000008,2025-07-23,2,24.86
O00000088,C000008,2025-09-21,4,21.38
O00000089,C000009,2024-04-18,5,17.26
O00000090,C000009,2025-03-07,3,23.61
O00000091,C000009,2025-09-30,2,21.24
O00000092,C000009,2025-11-22,6,19.01
O00000093,C000010,2024-11-02,3,24.22
O00000094,C000010,2024-12-23,3,22.47
O00000095,C000010,2025-04-10,7,56.62
O00000096,C000010,2025-12-05,4,51.24
O00000097,C000011,2024-04-10,2,25.3
O00000098,C000011,2024-08-15,3,23.63
O00000099,C000011,2025-02-20,4,24.95
O00000100,C000011,2025-05-10,3,9.68
O00000101,C000011,2025-06-26,5,31.03
O00000102,C000011,2025-09-21,3,34.74
O00000103,C000011,2025-11-21,3,19.4
O00000104,C000012,2024-04-15,2,12.93
O00000105,C000012,2024-08-02,4,37.14
O00000106,C000012,2025-05-27,3,17.62
O00000107,C000012,2025-06-18,4,22.71
O00000108,C000012,2025-09-22,2,33.84
O00000109,C000012,2025-11-06,3,19.63
O00000110,C000013,2024-01-19,2,12.8
O00000111,C000013,2024-07-14,4,10.48
O00000112,C000013,2024-08-03,3,15.15
O00000113,C000013,2024-10-16,1,14.55
O00000114,C000013,2024-12-05,3,7.64
O00000115,C000013,2025-01-31,3,14.73
O00000116,C000013,2025-07-15,6,13.97
O00000117,C000013,2025-09-23,5,12.83
O00000118,C000013,2025-12-28,2,14.48
O00000119,C000014,2024-01-07,2,25.14
O00000120,C000014,2024-04-06,2,28.88
O00000121,C000014,2024-12-24,2,21.44
O00000122,C000014,2025-04-09,2,31.26
O00000123,C000015,2024-04-03,3,35.81
O00000124,C000015,2024-04-27,2,31.37
O00000125,C000015,2024-05-16,2,35.28
O00000126,C000015,2024-08-02,4,66.01
O00000127,C000015,2024-10-08,3,35.41
O00000128,C000015,2024-11-04,2,50.1
O00000129,C000015,2024-12-27,3,37.3
O00000130,C000016,2024-03-03,1,8.79
O00000131,C000016,2024-06-21,1,15.25
O00000132,C000016,2024-06-28,5,13.89
O00000133,C000016,2024-09-05,2,19.38
O00000134,C000016,2024-12-23,5,14.33
O00000135,C000016,2025-02-04,2,12.14
O00000136,C000017,2024-03-12,1,7.82
O00000137,C000017,2024-08-06,7,14.74
O00000138,C000017,2025-05-24,3,11.72
O00000139,C000017,2025-09-10,3,15.67
O00000140,C000018,2024-02-29,1,13.17
O00000141,C000018,2024-04-15,2,8.44
O00000142,C000018,2024-09-17,6,12.35
O00000143,C000018,2024-10-23,4,10.08
O00000144,C000018,2025-06-23,2,11.09
O00000145,C000018,2025-07-30,9,16.0
O00000146,C000018,2025-08-01,4,16.66
O00000147,C000019,2024-02-26,5,26.49
O00000148,C000019,2024-04-01,1,32.85
O00000149,C000019,2024-10-07,4,34.95
O00000150,C000019,2024-12-10,2,28.32
O00000151,C000019,2025-03-15,2,24.3
O00000152,C000019,2025-05-18,4,23.4
O00000153,C000019,2025-08-22,2,32.3
O00000154,C000019,2025-12-04,2,31.41
O00000155,C000019,2025-12-15,2,21.28
O00000156,C000020,2024-01-28,2,30.02
O00000157,C000020,2024-06-20,4,43.92
O00000158,C000020,2024-07-01,2,39.19
O00000159,C000020,2024-08-24,4,31.93
O00000160,C000020,2024-09-14,3,36.12
O00000161,C000020,2024-09-17,5,35.76
O00000162,C000020,2024-09-27,3,22.32
O00000163,C000020,2024-10-27,3,30.3
O00000164,C000020,2024-11-08,3,38.47
O00000165,C000020,2024-11-14,3,24.06
O00000166,C000020,2025-01-23,3,27.41
O00000167,C000020,2025-03-22,4,47.05
O00000168,C000020,2025-05-17,5,46.99
O00000169,C000020,2025-06-13,4,34.13
O00000170,C000020,2025-09-21,6,33.1
O00000171,C000020,2025-12-22,4,33.07
O00000172,C000021,2024-03-14,3,11.97
O00000173,C000021,2024-04-19,4,8.88
O00000174,C000021,2024-08-14,2,6.64
O00000175,C000021,2025-05-29,3,7.97
O00000176,C000021,2025-06-13,1,10.49
O00000177,C000021,2025-10-17,4,7.92
O00000178,C000022,2024-02-27,3,38.23
O00000179,C000022,2024-08-22,4,34.86
O00000180,C000022,2025-01-03,2,39.34
O00000181,C000022,2025-01-06,4,46.49
O00000182,C000022,2025-01-18,3,40.3
O00000183,C000022,2025-03-29,4,39.19
O00000184,C000022,2025-07-05,4,36.78
O00000185,C000022,2025-07-23,4,33.72
O00000186,C000022,2025-08-31,3,58.26
O00000187,C000022,2025-09-03,2,37.57
O00000188,C000024,2024-02-25,2,30.53
O00000189,C000024,2024-03-26,5,31.64
O00000190,C000024,2025-07-10,3,40.83
O00000191,C000025,2024-01-21,2,53.45
O00000192,C000025,2024-06-16,4,40.92
O00000193,C000025,2024-09-11,2,41.13
O00000194,C000025,2024-09-29,4,47.61
O00000195,C000025,2024-11-16,3,51.87
O00000196,C000025,2025-03-25,3,47.59
O00000197,C000025,2025-08-09,4,31.08
O00000198,C000025,2025-11-23,5,43.53
O00000199,C000026,2024-01-17,4,62.1
O00000200,C000026,2024-06-08,1,48.6
O00000201,C000026,2024-07-04,4,78.61
O00000202,C000026,2024-10-29,4,56.08
O00000203,C000026,2025-06-12,3,77.99
O00000204,C000026,2025-07-28,5,55.85
O00000205,C000026,2025-12-07,2,79.74
O00000206,C000026,2025-12-29,3,61.4
O00000207,C000027,2024-01-30,5,19.4
O00000208,C000027,2024-03-10,2,14.41
O00000209,C000027,2024-04-16,4,14.83
O00000210,C000027,2024-06-05,1,14.68
O00000211,C000027,2024-07-24,4,12.87
O00000212,C000027,2024-08-09,2,10.6
O00000213,C000027,2024-11-01,1,16.66
O00000214,C000027,2025-05-20,2,11.22
O00000215,C000027,2025-06-10,1,11.03
O00000216,C000027,2025-07-06,2,13.67
O00000217,C000027,2025-08-21,2,14.79
O00000218,C000028,2024-03-24,6,38.79
O00000219,C000028,2024-08-14,3,40.88
O00000220,C000028,2024-08-24,3,52.16
O00000221,C000028,2024-09-12,5,23.38
O00000222,C000028,2024-09-23,3,29.88
O00000223,C000028,2024-10-28,6,29.41
O00000224,C000028,2024-11-06,8,49.27
O00000225,C000028,2025-02-07,6,51.82
O00000226,C000028,2025-06-15,3,48.46
O00000227,C000028,2025-07-20,7,52.16
O00000228,C000028,2025-07-31,2,43.17
O00000229,C000029,2024-04-18,3,40.51
O00000230,C000029,2024-05-05,3,21.85
O00000231,C000029,2025-02-03,2,40.6
O00000232,C000030,2024-03-15,3,24.45
O00000233,C000030,2024-03-16,3,42.44
O00000234,C000030,2024-07-20,3,28.69
O00000235,C000030,2024-07-29,4,19.29
O00000236,C000030,2024-10-28,3,39.13
O00000237,C000030,2024-12-11,7,42.71
O00000238,C000030,2025-06-18,5,40.71
O00000239,C000030,2025-07-05,4,31.75
O00000240,C000030,2025-11-05,2,32.41
O00000241,C000030,2025-12-07,4,33.44
O00000242,C000031,2024-05-02,4,20.02
O00000243,C000031,2024-07-24,3,15.53
O00000244,C000031,2024-08-17,1,16.6
O00000245,C000031,2024-08-21,4,20.8
O00000246,C000031,2024-08-23,2,16.54
O00000247,C000031,2025-01-14,2,13.75
O00000248,C000031,2025-03-22,4,15.58
O00000249,C000031,2025-04-18,4,15.57
O00000250,C000031,2025-05-04,3,11.43
O00000251,C000031,2025-06-11,3,11.85
O00000252,C000031,2025-06-24,3,15.89
O00000253,C000031,2025-07-05,2,10.18
