transaction_id,timestamp,hour,user_id,merchant_id,channel,country,device,amount,is_fraud
1,2025-02-01 07:00:00,7,9967,2952,card_present,US,ios,12.23,0
2,2025-03-09 11:00:00,11,1074,249,card_present,US,web,18.4,0
3,2025-02-08 22:00:00,22,17813,93,card_present,DE,web,25.69,0
4,2025-03-16 04:00:00,4,11719,3219,card_present,US,ios,22.59,0
5,2025-03-02 12:00:00,12,10502,1836,card_present,US,ios,19.33,0
6,2025-03-27 23:00:00,23,9666,122,card_present,AU,web,12.59,0
7,2025-01-16 12:00:00,12,16145,2928,ecom,CA,android,41.55,0
8,2025-01-06 11:00:00,11,10561,81,card_present,US,web,32.1,0
9,2025-01-12 18:00:00,18,22812,1476,mobile_wallet,US,web,16.22,0
10,2025-02-12 12:00:00,12,13300,1433,card_present,US,android,9.46,0
11,2025-01-25 02:00:00,2,4740,339,card_present,US,android,71.19,0
12,2025-03-11 18:00:00,18,22559,283,ecom,US,web,57.43,0
13,2025-01-25 21:00:00,21,16738,539,mobile_wallet,CA,ios,12.79,0
14,2025-04-20 17:00:00,17,691,678,ecom,US,android,30.65,0
15,2025-04-02 23:00:00,23,8407,3197,card_present,IN,android,27.28,0
16,2025-03-25 06:00:00,6,23932,2018,card_present,US,ios,86.18,0
17,2025-04-12 00:00:00,0,12492,3942,card_present,IN,android,57.17,0
18,2025-02-19 14:00:00,14,24995,1906,card_present,GB,web,13.82,0
19,2025-01-03 18:00:00,18,4767,3043,ecom,CA,web,68.05,0
20,2025-02-03 15:00:00,15,3850,3199,card_present,DE,web,21.81,0
21,2025-04-21 22:00:00,22,19165,424,ecom,US,android,49.8,0
22,2025-04-26 08:00:00,8,10656,1462,ecom,AU,web,40.34,0
23,2025-03-04 20:00:00,20,21100,3535,mobile_wallet,US,android,41.85,0
24,2025-01-23 02:00:00,2,17764,2253,mobile_wallet,CA,ios,31.3,0
25,2025-03-02 07:00:00,7,15171,3830,card_present,US,web,16.39,0
26,2025-03-18 10:00:00,10,2605,715,card_present,GB,android,21.68,0
27,2025-04-01 21:00:00,21,17478,1883,ecom,US,ios,39.93,0
28,2025-01-29 21:00:00,21,9898,2391,mobile_wallet,US,ios,10.01,0
29,2025-02-02 22:00:00,22,23521,2111,ecom,US,android,13.02,0
