date,store_id,product_id,price,units,revenue,promo,stockout,holiday_window,anomaly
2023-01-01,S01,P01,20.93,15,313.88,0,0,0,none
2023-01-01,S01,P02,31.02,12,372.26,0,0,0,none
2023-01-01,S01,P03,9.84,12,118.12,0,0,0,none
2023-01-01,S01,P04,28.67,21,602.06,0,0,0,none
2023-01-01,S01,P05,21.02,43,904.06,0,0,0,spike
2023-01-01,S01,P06,22.72,16,363.59,0,0,0,none
2023-01-01,S01,P07,29.85,13,388.1,0,0,0,none
2023-01-01,S01,P08,17.99,23,413.83,0,0,0,none
2023-01-01,S01,P09,40.93,24,982.28,0,0,0,none
2023-01-01,S01,P10,40.62,11,446.8,0,0,0,none
2023-01-01,S01,P11,30.55,18,549.94,0,0,0,none
2023-01-01,S01,P12,26.94,25,673.5,0,0,0,none
2023-01-01,S02,P01,29.32,21,615.63,0,0,0,none
2023-01-01,S02,P02,16.75,22,368.5,0,0,0,none
2023-01-01,S02,P03,23.34,13,303.44,0,0,0,none
2023-01-01,S02,P04,20.68,19,392.83,0,0,0,none
2023-01-01,S02,P05,18.54,13,241.06,0,0,0,none
2023-01-01,S02,P06,27.15,26,705.95,0,0,0,none
2023-01-01,S02,P07,25.75,25,643.63,0,0,0,none
2023-01-01,S02,P08,30.67,32,981.33,0,0,0,none
2023-01-01,S02,P09,30.84,25,771.05,0,0,0,none
2023-01-01,S02,P10,25.04,15,375.63,0,0,0,none
2023-01-01,S02,P11,11.49,18,206.91,0,0,0,none
2023-01-01,S02,P12,29.49,14,412.85,0,0,0,none
2023-01-01,S03,P01,17.36,22,381.92,0,0,0,none
2023-01-01,S03,P02,11.67,26,303.31,0,0,0,none
2023-01-01,S03,P03,11.75,15,176.31,0,0,0,none
2023-01-01,S03,P04,19.78,24,474.81,0,0,0,none
2023-01-01,S03,P05,20.1,11,221.11,0,0,0,none
2023-01-01,S03,P06,29.64,29,859.63,0,0,0,none
2023-01-01,S03,P07,12.2,20,243.91,0,0,0,none
2023-01-01,S03,P08,25.39,34,863.18,0,0,0,none
2023-01-01,S03,P09,20.04,12,240.43,0,0,0,none
2023-01-01,S03,P10,23.35,15,350.22,0,0,0,none
2023-01-01,S03,P11,22.02,15,330.28,0,0,0,none
2023-01-01,S03,P12,24.8,14,347.16,0,0,0,none
2023-01-01,S04,P01,10.77,28,301.68,0,0,0,none
2023-01-01,S04,P02,19.29,27,520.8,0,0,0,none
2023-01-01,S04,P03,27.08,22,595.77,0,0,0,none
2023-01-01,S04,P04,13.72,23,315.46,0,0,0,none
2023-01-01,S04,P05,26.84,17,456.27,0,0,0,none
2023-01-01,S04,P06,25.61,29,742.8,0,0,0,none
2023-01-01,S04,P07,21.51,29,623.91,0,0,0,none
2023-01-01,S04,P08,32.07,26,833.84,0,0,0,none
2023-01-01,S04,P09,27.25,24,653.89,0,0,0,none
2023-01-01,S04,P10,29.36,8,234.91,0,0,0,none
2023-01-01,S04,P11,32.91,16,526.57,0,0,0,none
2023-01-01,S04,P12,11.89,23,273.55,0,0,0,none
2023-01-01,S05,P01,3.0,14,42.0,0,0,0,none
2023-01-01,S05,P02,10.74,32,343.75,0,0,0,none
2023-01-01,S05,P03,13.72,15,205.83,0,0,0,none
2023-01-01,S05,P04,26.99,18,485.79,0,0,0,none
2023-01-01,S05,P05,16.4,17,278.78,0,0,0,none
2023-01-01,S05,P06,32.81,29,951.56,0,0,0,none
2023-01-01,S05,P07,24.89,20,497.76,0,0,0,none
2023-01-01,S05,P08,25.62,33,845.32,0,0,0,none
2023-01-01,S05,P09,27.43,27,740.57,0,0,0,none
2023-01-01,S05,P10,18.38,11,202.19,0,0,0,none
2023-01-01,S05,P11,29.45,12,353.35,0,0,0,none
2023-01-01,S05,P12,12.39,15,185.87,0,0,0,none
2023-01-01,S06,P01,24.22,22,532.75,0,0,0,none
2023-01-01,S06,P02,26.77,38,1017.2,0,0,0,none
2023-01-01,S06,P03,21.48,14,300.72,0,0,0,none
2023-01-01,S06,P04,31.57,21,662.98,0,0,0,none
2023-01-01,S06,P05,26.68,11,293.45,0,0,0,none
2023-01-01,S06,P06,20.69,78,1614.09,0,0,0,spike
2023-01-01,S06,P07,21.42,15,321.34,0,0,0,none
2023-01-01,S06,P08,30.59,47,1437.58,0,0,0,none
2023-01-01,S06,P09,15.47,28,433.06,0,0,0,none
2023-01-01,S06,P10,42.12,7,294.83,0,0,0,none
2023-01-01,S06,P11,13.17,19,250.17,0,0,0,none
2023-01-01,S06,P12,28.24,24,677.86,0,0,0,none
2023-01-01,S07,P01,27.95,22,614.94,1,0,0,none
2023-01-01,S07,P02,28.86,30,865.66,1,0,0,none
2023-01-01,S07,P03,23.28,25,582.06,1,0,0,none
2023-01-01,S07,P04,5.84,23,134.38,1,0,0,none
2023-01-01,S07,P05,16.05,4,64.22,1,0,0,none
2023-01-01,S07,P06,37.97,34,1291.06,1,0,0,none
2023-01-01,S07,P07,42.31,21,888.53,1,0,0,none
2023-01-01,S07,P08,26.72,28,748.08,1,0,0,none
2023-01-01,S07,P09,34.49,28,965.62,1,0,0,none
2023-01-01,S07,P10,25.47,16,407.55,1,0,0,none
2023-01-01,S07,P11,31.62,23,727.34,1,0,0,none
2023-01-01,S07,P12,25.61,23,589.03,1,0,0,none
2023-01-01,S08,P01,14.25,19,270.81,0,0,0,none
2023-01-01,S08,P02,21.36,19,405.88,0,0,0,none
2023-01-01,S08,P03,18.65,15,279.68,0,0,0,none
2023-01-01,S08,P04,20.12,11,221.32,0,0,0,none
2023-01-01,S08,P05,21.9,10,218.96,0,0,0,none
2023-01-01,S08,P06,30.04,22,660.88,0,0,0,none
2023-01-01,S08,P07,10.05,12,120.57,0,0,0,none
2023-01-01,S08,P08,3.0,26,78.0,0,0,0,none
2023-01-01,S08,P09,18.86,17,320.61,0,0,0,none
2023-01-01,S08,P10,19.84,15,297.54,0,0,0,none
2023-01-01,S08,P11,31.21,14,436.95,0,0,0,none
2023-01-01,S08,P12,31.99,18,575.74,0,0,0,none
2023-01-02,S01,P01,12.4,18,223.2,0,0,0,none
2023-01-02,S01,P02,3.21,17,54.63,0,0,0,none
2023-01-02,S01,P03,24.85,7,173.96,0,0,0,none
2023-01-02,S01,P04,26.44,23,608.17,0,0,0,none
2023-01-02,S01,P05,18.08,10,180.8,0,0,0,none
2023-01-02,S01,P06,17.86,18,321.49,0,0,0,none
2023-01-02,S01,P07,19.47,16,311.58,0,0,0,none
2023-01-02,S01,P08,47.8,23,1099.32,0,0,0,none
2023-01-02,S01,P09,22.48,25,561.93,0,0,0,none
2023-01-02,S01,P10,10.4,16,166.37,0,0,0,none
2023-01-02,S01,P11,40.82,13,530.65,0,0,0,none
2023-01-02,S01,P12,17.18,15,257.67,0,0,0,none
2023-01-02,S02,P01,26.98,20,539.59,0,0,0,none
2023-01-02,S02,P02,11.84,31,366.99,0,0,0,none
2023-01-02,S02,P03,19.7,13,256.07,0,0,0,none
2023-01-02,S02,P04,20.65,13,268.39,0,0,0,none
2023-01-02,S02,P05,18.92,12,227.07,0,0,0,none
2023-01-02,S02,P06,8.39,34,285.29,0,0,0,none
2023-01-02,S02,P07,32.81,23,754.64,0,0,0,none
2023-01-02,S02,P08,33.08,34,1124.68,0,0,0,none
2023-01-02,S02,P09,29.55,19,561.42,0,0,0,none
2023-01-02,S02,P10,17.97,6,107.84,0,0,0,none
2023-01-02,S02,P11,16.89,12,202.72,0,0,0,none
2023-01-02,S02,P12,29.52,19,560.84,0,0,0,none
2023-01-02,S03,P01,17.96,15,269.47,0,0,0,none
2023-01-02,S03,P02,17.04,19,323.73,0,0,0,none
2023-01-02,S03,P03,16.68,24,400.31,0,0,0,none
2023-01-02,S03,P04,10.27,20,205.49,0,0,0,none
2023-01-02,S03,P05,17.78,12,213.34,0,0,0,none
2023-01-02,S03,P06,23.6,27,637.11,0,0,0,none
2023-01-02,S03,P07,18.73,15,281.0,0,0,0,none
2023-01-02,S03,P08,28.58,19,543.1,0,0,0,none
2023-01-02,S03,P09,22.67,21,476.0,0,0,0,none
2023-01-02,S03,P10,23.26,23,534.94,0,0,0,none
2023-01-02,S03,P11,36.2,17,615.47,0,0,0,none
2023-01-02,S03,P12,32.35,12,388.15,0,0,0,none
2023-01-02,S04,P01,24.58,24,589.87,0,0,0,none
2023-01-02,S04,P02,26.56,31,823.46,0,0,0,none
