datetime,load,solar,wind
2014-12-31 23:00:00+00:00,41987,0,8644
2015-01-01 00:00:00+00:00,40665,0,8814
2015-01-01 01:00:00+00:00,39510,0,9054
2015-01-01 02:00:00+00:00,38537,0,9070
2015-01-01 03:00:00+00:00,38153,0,9164
2015-01-01 04:00:00+00:00,37927,0,9232
2015-01-01 05:00:00+00:00,37921,0,9688
2015-01-01 06:00:00+00:00,39143,0,10331
2015-01-01 07:00:00+00:00,39891,53,10208
2015-01-01 08:00:00+00:00,41618,773,10029
2015-01-01 09:00:00+00:00,43858,2116,10550
2015-01-01 10:00:00+00:00,46208,3364,11390
2015-01-01 11:00:00+00:00,47556,4198,12103
2015-01-01 12:00:00+00:00,46674,3500,12505
2015-01-01 13:00:00+00:00,45923,2279,11921
2015-01-01 14:00:00+00:00,46347,746,11851
2015-01-01 15:00:00+00:00,48230,50,13582
2015-01-01 16:00:00+00:00,51634,0,15436
2015-01-01 17:00:00+00:00,51307,0,16868
2015-01-01 18:00:00+00:00,50138,0,18008
2015-01-01 19:00:00+00:00,47092,0,19181
2015-01-01 20:00:00+00:00,45182,0,20352
2015-01-01 21:00:00+00:00,49365,0,21236
2015-01-01 22:00:00+00:00,46468,0,22083
2015-01-01 23:00:00+00:00,43254,0,22472
2015-01-02 00:00:00+00:00,41608,0,23434
2015-01-02 01:00:00+00:00,40839,0,24248
2015-01-02 02:00:00+00:00,40577,0,25034
2015-01-02 03:00:00+00:00,41364,0,25721
2015-01-02 04:00:00+00:00,43445,0,26172
2015-01-02 05:00:00+00:00,46679,0,26355
2015-01-02 06:00:00+00:00,51275,0,26193
2015-01-02 07:00:00+00:00,55305,38,26590
2015-01-02 08:00:00+00:00,57513,253,25934
2015-01-02 09:00:00+00:00,59351,667,25642
2015-01-02 10:00:00+00:00,60451,1262,25811
2015-01-02 11:00:00+00:00,60104,1726,25642
2015-01-02 12:00:00+00:00,59568,1899,25795
2015-01-02 13:00:00+00:00,58561,1352,25297
2015-01-02 14:00:00+00:00,58012,516,24982
2015-01-02 15:00:00+00:00,59287,45,24720
2015-01-02 16:00:00+00:00,62208,0,24301
2015-01-02 17:00:00+00:00,62007,0,25010
2015-01-02 18:00:00+00:00,59408,0,24783
