customer_id,plan,region,acquisition_channel,tenure_months,seats,monthly_price,tickets_last_90d,nps,weekly_active_days,feature_adoption,used_discount,churned
C000001,pro,EU,paid,31,15,47.36,0,1.6,3.13,0.617,0,1
C000002,basic,NA,organic,9,11,18.66,1,19.4,1.7,0.718,1,1
C000003,pro,EU,organic,22,10,70.69,0,4.5,3.97,0.511,0,0
C000004,pro,NA,sales,48,9,62.12,0,49.1,3.68,0.502,1,1
C000005,basic,NA,organic,37,6,22.8,1,29.7,6.34,0.171,0,0
C000006,enterprise,EU,organic,60,20,236.5,0,6.3,3.78,0.197,0,0
C000007,pro,EU,organic,47,7,68.01,1,17.0,3.14,0.446,0,1
C000008,pro,APAC,sales,22,7,70.65,0,-29.5,2.53,0.166,0,0
C000009,basic,APAC,partner,47,12,22.9,2,17.5,2.65,0.246,0,0
C000010,basic,APAC,organic,52,8,31.59,3,37.9,0.52,0.266,0,1
C000011,basic,APAC,sales,38,5,27.84,3,39.1,2.72,0.663,0,0
C000012,enterprise,APAC,organic,46,22,190.22,2,13.4,4.27,0.708,0,0
C000013,pro,NA,sales,31,8,72.24,0,26.1,2.45,0.771,0,0
C000014,pro,EU,organic,55,10,61.37,1,40.0,4.98,0.506,0,0
C000015,basic,NA,organic,15,8,32.07,2,51.7,3.56,0.68,0,0
C000016,basic,NA,organic,26,10,24.75,3,21.9,4.62,0.185,1,0
C000017,pro,NA,sales,16,5,49.37,1,46.5,3.17,0.32,0,0
C000018,basic,APAC,sales,7,9,26.77,2,3.1,2.51,0.707,1,0
C000019,pro,APAC,paid,37,4,52.6,2,39.8,5.39,0.086,1,0
C000020,pro,LATAM,organic,8,11,61.97,1,34.5,3.54,0.76,0,0
C000021,pro,LATAM,organic,14,7,66.44,0,-16.6,5.19,0.756,0,0
C000022,basic,APAC,organic,46,9,23.64,2,25.2,3.0,0.82,1,0
C000023,enterprise,NA,organic,15,42,197.68,0,60.2,0.0,0.576,0,0
C000024,pro,APAC,organic,52,5,61.31,1,-0.4,6.02,0.458,0,0
C000025,pro,APAC,paid,3,4,63.98,2,34.3,2.33,0.383,0,1
C000026,basic,APAC,paid,28,9,23.82,1,46.2,1.67,0.577,0,0
C000027,basic,NA,sales,5,10,30.57,2,51.9,4.69,0.929,0,1
C000028,basic,NA,organic,4,6,17.44,2,35.0,1.02,0.205,0,0
C000029,basic,LATAM,organic,48,6,20.23,2,16.9,4.96,0.691,0,1
C000030,pro,NA,paid,5,10,70.26,0,49.6,3.69,0.22,0,1
C000031,pro,NA,organic,54,9,66.27,1,27.1,3.97,0.254,0,0
C000032,enterprise,EU,paid,36,27,313.44,3,-3.2,4.22,0.386,0,1
C000033,basic,NA,partner,29,7,26.09,2,24.1,2.05,0.428,1,0
C000034,basic,NA,organic,56,12,18.67,1,-16.1,2.06,0.656,0,0
C000035,basic,LATAM,organic,24,14,22.87,0,31.2,4.87,0.384,1,0
C000036,basic,APAC,sales,24,12,27.29,3,25.4,2.71,0.415,1,0
C000037,basic,LATAM,paid,25,11,24.83,1,-1.1,3.2,0.753,0,1
C000038,basic,NA,paid,40,4,24.66,2,86.8,3.8,0.569,0,0
C000039,basic,NA,paid,51,8,20.88,1,-0.1,4.57,0.127,1,0
C000040,pro,NA,paid,33,10,47.98,3,36.4,1.25,0.367,1,0
C000041,basic,EU,organic,17,10,27.48,1,25.8,4.26,0.503,0,0
C000042,pro,NA,partner,54,6,74.67,2,13.7,5.07,0.654,0,0
C000043,pro,APAC,sales,36,7,55.36,2,18.8,4.24,0.16,0,1
C000044,basic,LATAM,organic,50,13,23.45,1,9.7,5.52,0.559,0,1
C000045,pro,EU,organic,26,10,55.25,1,37.3,3.18,0.574,0,0
C000046,pro,NA,paid,12,8,65.72,1,66.6,1.45,0.263,0,0
C000047,basic,NA,paid,57,3,33.36,4,74.2,4.36,0.281,0,1
C000048,basic,NA,organic,41,8,20.66,0,43.7,3.63,0.284,1,0
C000049,pro,NA,paid,19,10,67.43,2,10.0,6.21,0.366,0,0
C000050,basic,EU,paid,51,8,29.28,3,39.4,3.98,0.414,0,1
C000051,basic,NA,paid,1,7,27.44,1,31.4,4.83,0.104,0,1
C000052,basic,EU,organic,56,10,29.56,2,38.2,3.15,0.242,1,0
C000053,pro,APAC,organic,35,10,70.62,0,-6.2,3.66,0.672,1,0
C000054,pro,NA,organic,36,12,67.93,2,-13.3,5.33,0.268,0,0
C000055,pro,NA,sales,1,18,66.35,0,58.8,4.52,0.605,0,0
C000056,pro,NA,paid,11,5,60.61,1,25.5,7.0,0.324,1,0
C000057,basic,NA,organic,44,4,19.8,1,18.4,4.94,0.386,0,0
C000058,pro,EU,sales,34,8,79.74,2,32.8,3.72,0.284,0,0
C000059,basic,APAC,organic,8,6,22.7,2,-8.5,3.99,0.351,1,0
C000060,basic,APAC,paid,40,12,23.38,1,66.6,4.58,0.598,0,0
C000061,pro,EU,organic,45,10,61.53,2,-3.7,5.55,0.529,0,0
C000062,basic,NA,paid,17,7,24.38,0,-13.4,3.39,0.406,0,0
C000063,pro,NA,paid,42,11,87.74,2,60.2,1.22,0.27,0,0
C000064,pro,NA,partner,59,8,58.18,0,98.6,4.78,0.435,0,1
C000065,pro,NA,organic,29,5,66.39,2,0.4,5.15,0.282,0,1
C000066,pro,APAC,organic,14,9,75.75,0,39.0,3.05,0.513,0,0
C000067,pro,EU,organic,58,6,78.31,0,100.0,5.64,0.269,0,0
C000068,basic,NA,sales,55,10,31.31,1,-14.4,4.85,0.396,0,0
C000069,basic,NA,organic,28,8,27.86,2,30.7,4.06,0.339,0,1
C000070,basic,NA,paid,26,11,22.39,1,54.4,2.98,0.394,0,0
C000071,basic,LATAM,paid,51,8,27.97,1,14.8,2.39,0.423,0,0
C000072,basic,NA,organic,1,8,22.68,1,61.0,4.49,0.792,1,1
C000073,pro,NA,organic,19,11,57.01,1,43.6,4.14,0.546,0,0
C000074,basic,NA,organic,33,9,26.06,0,1.1,3.22,0.434,0,0
C000075,basic,APAC,paid,40,12,28.89,2,-4.0,1.3,0.675,0,1
C000076,basic,EU,sales,38,7,26.39,4,11.7,4.5,0.566,0,0
C000077,basic,EU,organic,23,7,21.32,1,16.3,4.57,0.228,1,0
C000078,pro,NA,sales,53,4,61.42,0,29.3,3.96,0.246,0,0
C000079,pro,NA,organic,39,14,75.12,3,76.5,3.49,0.672,0,0
C000080,pro,APAC,organic,33,8,57.33,2,14.5,2.19,0.495,0,0
C000081,pro,NA,sales,57,8,54.54,1,31.0,4.61,0.489,0,0
C000082,basic,NA,sales,6,1,24.83,1,73.1,6.21,0.66,0,0
C000083,pro,EU,organic,43,14,64.27,1,52.6,2.41,0.107,0,0
C000084,basic,NA,paid,56,10,28.23,3,29.1,2.52,0.296,1,1
C000085,basic,NA,sales,40,7,29.91,1,21.9,3.09,0.781,0,0
C000086,basic,APAC,partner,34,8,24.91,3,-12.0,5.42,0.449,1,0
C000087,pro,EU,paid,22,5,52.91,4,21.9,5.68,0.209,0,1
C000088,basic,NA,organic,17,3,27.2,1,85.9,3.53,0.471,0,0
C000089,basic,NA,organic,33,15,27.12,2,10.5,3.61,0.009,0,0
C000090,basic,APAC,paid,54,6,26.9,1,54.5,3.68,0.216,0,0
C000091,basic,NA,paid,28,11,34.55,2,10.8,1.61,0.466,0,0
C000092,pro,NA,organic,8,12,70.14,2,48.7,1.4,0.398,0,0
C000093,basic,EU,organic,30,11,30.92,3,53.8,4.18,0.524,1,0
C000094,basic,EU,organic,6,9,19.58,2,14.6,6.47,0.141,0,1
C000095,basic,LATAM,organic,57,8,20.13,2,11.9,7.0,0.603,0,1
C000096,pro,NA,organic,33,7,65.38,0,43.8,3.28,0.473,0,0
C000097,basic,NA,organic,13,7,25.08,3,46.1,2.49,0.534,0,0
C000098,basic,EU,organic,38,8,24.29,1,49.8,2.19,0.697,1,1
C000099,basic,EU,sales,33,3,26.32,1,28.7,6.7,0.633,0,0
C000100,enterprise,NA,paid,31,46,159.29,2,1.2,2.02,0.406,0,0
C000101,enterprise,EU,organic,36,42,216.1,2,25.6,3.62,0.795,0,0
C000102,pro,NA,organic,56,6,68.89,1,0.6,5.08,0.177,0,0
C000103,basic,APAC,organic,52,6,25.38,1,42.1,3.61,0.448,1,1
C000104,enterprise,APAC,paid,16,43,251.61,3,1.1,5.72,0.509,1,1
C000105,pro,NA,paid,15,7,64.17,0,8.0,1.68,0.191,0,0
C000106,pro,LATAM,paid,60,4,66.91,2,23.6,2.58,0.271,0,1
C000107,basic,LATAM,paid,39,7,29.81,3,62.0,2.91,0.413,0,1
C000108,basic,NA,organic,2,8,28.05,1,-2.4,3.42,0.241,0,0
C000109,basic,NA,organic,32,7,29.32,0,11.0,5.07,0.222,0,0
C000110,enterprise,EU,organic,8,18,209.06,2,15.4,0.6,0.072,0,0
C000111,basic,NA,organic,2,12,28.32,4,38.8,3.35,0.146,0,0
C000112,basic,NA,organic,12,8,23.86,1,5.0,4.17,0.508,0,0
C000113,basic,NA,paid,16,9,19.91,0,-3.0,4.85,0.162,0,1
